take_profit_pct,entry_step_pct,position_size_pct,max_entries,leverage,roi,total_pnl,win_rate,total_trades,trades_per_day,daily_pnl,max_trade_dd,max_balance_dd,max_duration_h,avg_entries,final_balance,commission,roi_dd_ratio
0.7,3.0,15.0,5,2,5.802473923388334,58.024739233883636,99.53488372093024,215,0.14736120630568883,0.03977021194920057,66.7975230055692,24.394604322480742,15595.0,1.5209302325581395,1058.0247392338833,68.07107810135092,0.23785890710435048
0.7,3.0,15.0,5,4,5.802473923388334,58.024739233883636,99.53488372093024,215,0.14736120630568883,0.03977021194920057,66.7975230055692,24.394604322480742,15595.0,1.5209302325581395,1058.0247392338833,68.07107810135092,0.23785890710435048
0.7,3.0,15.0,5,6,5.802473923388334,58.024739233883636,99.53488372093024,215,0.14736120630568883,0.03977021194920057,66.7975230055692,24.394604322480742,15595.0,1.5209302325581395,1058.0247392338833,68.07107810135092,0.23785890710435048
0.7,2.0,5.0,7,2,5.728831629272508,57.28831629272466,99.73262032085562,374,0.2563399588759424,0.039265466958687226,67.7586639984427,16.921162344796976,15611.0,1.7299465240641712,1057.288316292725,42.73563826424226,0.33856017172685804
0.7,2.0,5.0,7,4,5.728831629272508,57.28831629272466,99.73262032085562,374,0.2563399588759424,0.039265466958687226,67.7586639984427,16.921162344796976,15611.0,1.7299465240641712,1057.288316292725,42.73563826424226,0.33856017172685804
0.7,2.0,5.0,7,6,5.728831629272508,57.28831629272466,99.73262032085562,374,0.2563399588759424,0.039265466958687226,67.7586639984427,16.921162344796976,15611.0,1.7299465240641712,1057.288316292725,42.73563826424226,0.33856017172685804
1.0,2.0,5.0,5,2,5.558739570455009,55.58739570455154,99.54128440366972,218,0.14941740918437285,0.03809965435541572,73.11888644626272,15.67504683288503,16658.0,1.8027522935779816,1055.58739570455,25.770117607399765,0.3546234744762105
1.0,2.0,5.0,5,4,5.558739570455009,55.58739570455154,99.54128440366972,218,0.14941740918437285,0.03809965435541572,73.11888644626272,15.67504683288503,16658.0,1.8027522935779816,1055.58739570455,25.770117607399765,0.3546234744762105
1.0,2.0,5.0,5,6,5.558739570455009,55.58739570455154,99.54128440366972,218,0.14941740918437285,0.03809965435541572,73.11888644626272,15.67504683288503,16658.0,1.8027522935779816,1055.58739570455,25.770117607399765,0.3546234744762105
0.5,3.0,8.0,3,2,5.218668327848354,52.186683278483734,99.6845425867508,317,0.21727210418094586,0.03576880279539667,67.25515383722993,11.27752157176126,15599.0,1.252365930599369,1052.1866832784835,40.55211402974331,0.4627495761937462
0.5,3.0,8.0,3,4,5.218668327848354,52.186683278483734,99.6845425867508,317,0.21727210418094586,0.03576880279539667,67.25515383722993,11.27752157176126,15599.0,1.252365930599369,1052.1866832784835,40.55211402974331,0.4627495761937462
0.5,3.0,8.0,3,6,5.218668327848354,52.186683278483734,99.6845425867508,317,0.21727210418094586,0.03576880279539667,67.25515383722993,11.27752157176126,15599.0,1.252365930599369,1052.1866832784835,40.55211402974331,0.4627495761937462
0.3,4.0,10.0,7,2,5.162767427538278,51.6276742753818,100.0,247,0.16929403701165183,0.03538565748826717,65.90675636201433,4.9093111125053355,14781.0,1.1336032388663968,1051.6276742753828,34.50458177297157,1.0516276742753827
0.3,4.0,10.0,7,4,5.162767427538278,51.6276742753818,100.0,247,0.16929403701165183,0.03538565748826717,65.90675636201433,4.9093111125053355,14781.0,1.1336032388663968,1051.6276742753828,34.50458177297157,1.0516276742753827
0.3,4.0,10.0,7,6,5.162767427538278,51.6276742753818,100.0,247,0.16929403701165183,0.03538565748826717,65.90675636201433,4.9093111125053355,14781.0,1.1336032388663968,1051.6276742753828,34.50458177297157,1.0516276742753827
1.0,4.0,5.0,7,2,5.1560725011893735,51.56072501189397,99.41520467836257,171,0.11720356408498972,0.03533977039883068,65.90647616619002,12.543057364576002,14784.0,1.8245614035087718,1051.5607250118937,20.093477120733436,0.41106983340051606
